run_date,code,horizon,snap_date,price,return_pct,nikkei_return_pct
2026-08-03,2354,1d,2026-08-03,1255.00,-7.0370,0.0000
2026-08-03,2354,3d,2026-08-05,1390.00,2.9630,0.3950
2026-08-03,2354,5d,2026-08-07,1289.00,-4.5185,0.9854
2026-08-03,3191,1d,2026-08-03,2409.00,-2.1130,0.0000
2026-08-03,3191,3d,2026-08-05,2227.00,-9.5083,0.3950
2026-08-03,3191,5d,2026-08-07,2248.00,-8.6550,0.9854
2026-08-03,3635,1d,2026-08-03,1575.00,-1.5625,0.0000
2026-08-03,3635,3d,2026-08-05,1567.50,-2.0312,0.3950
2026-08-03,3635,5d,2026-08-07,1635.00,2.1875,0.9854
2026-08-03,9605,1d,2026-08-03,5970.00,-0.5000,0.0000
2026-08-03,9605,3d,2026-08-05,5890.00,-1.8333,0.3950
2026-08-03,9605,5d,2026-08-07,6000.00,0.0000,0.9854
2026-08-03,9991,1d,2026-08-03,1734.00,0.8140,0.0000
2026-08-03,9991,3d,2026-08-05,1707.00,-0.7558,0.3950
2026-08-03,9991,5d,2026-08-07,1748.00,1.6279,0.9854
2026-08-04,3159,1d,2026-08-04,390.00,1.8277,0.0000
2026-08-04,3159,3d,2026-08-06,401.00,4.6997,0.3178
2026-08-04,3159,5d,2026-08-10,420.00,9.6606,5.0433
2026-08-04,3851,1d,2026-08-04,1048.00,6.2880,0.0000
2026-08-04,3851,3d,2026-08-06,1037.00,5.1724,0.3178
2026-08-04,3851,5d,2026-08-10,1135.00,15.1116,5.0433
2026-08-04,4722,1d,2026-08-04,2446.00,-0.0409,0.0000
2026-08-04,4722,3d,2026-08-06,2446.00,-0.0409,0.3178
2026-08-04,4722,5d,2026-08-10,2444.00,-0.1226,5.0433
2026-08-04,9507,1d,2026-08-04,1717.00,-0.6940,0.0000
2026-08-04,9507,3d,2026-08-06,1776.50,2.7473,0.3178
2026-08-04,9507,5d,2026-08-10,1734.50,0.3181,5.0433
2026-08-04,9991,1d,2026-08-04,1700.00,-0.5266,0.0000
2026-08-04,9991,3d,2026-08-06,1729.00,1.1703,0.3178
2026-08-04,9991,5d,2026-08-10,1749.00,2.3406,5.0433
2026-08-05,1899,1d,2026-08-05,3910.00,1.0336,0.0000
2026-08-05,1899,3d,2026-08-07,4440.00,14.7287,1.6241
2026-08-05,1899,5d,2026-08-12,4605.00,18.9922,4.7104
2026-08-05,2121,1d,2026-08-05,3215.00,-0.4644,0.0000
2026-08-05,2121,3d,2026-08-07,3230.00,0.0000,1.6241
2026-08-05,2121,5d,2026-08-12,3335.00,3.2508,4.7104
2026-08-05,2664,1d,2026-08-05,3495.00,-0.8511,0.0000
2026-08-05,2664,3d,2026-08-07,3675.00,4.2553,1.6241
2026-08-05,2664,5d,2026-08-12,3620.00,2.6950,4.7104
2026-08-05,3851,1d,2026-08-05,1025.00,-1.2524,0.0000
2026-08-05,3851,3d,2026-08-07,1076.00,3.6609,1.6241
2026-08-05,3851,5d,2026-08-12,1135.00,9.3449,4.7104
2026-08-05,9507,1d,2026-08-05,1741.50,-1.3035,0.0000
2026-08-05,9507,3d,2026-08-07,1745.50,-1.0768,1.6241
2026-08-05,9507,5d,2026-08-12,1734.50,-1.7002,4.7104
2026-08-06,2121,1d,2026-08-06,3210.00,-0.7728,-0.9309
2026-08-06,2121,3d,2026-08-10,3335.00,3.0912,1.0102
2026-08-06,2121,5d,2026-08-13,3320.00,2.6275,1.0102
2026-08-06,3851,1d,2026-08-06,1041.00,0.3857,-0.9309
2026-08-06,3851,3d,2026-08-10,1135.00,9.4503,1.0102
2026-08-06,3851,5d,2026-08-13,1140.00,9.9325,1.0102
2026-08-06,4674,1d,2026-08-06,1729.00,2.9167,-0.9309
2026-08-06,4674,3d,2026-08-10,1867.00,11.1310,1.0102
2026-08-06,4674,5d,2026-08-13,1855.00,10.4167,1.0102
2026-08-06,4722,1d,2026-08-06,2446.00,0.0000,-0.9309
2026-08-06,4722,3d,2026-08-10,2444.00,-0.0818,1.0102
2026-08-06,4722,5d,2026-08-13,2445.00,-0.0409,1.0102
2026-08-06,9507,1d,2026-08-06,1741.50,-1.9150,-0.9309
2026-08-06,9507,3d,2026-08-10,1734.50,-2.3092,1.0102
2026-08-06,9507,5d,2026-08-13,1748.00,-1.5489,1.0102
2026-08-07,2121,1d,2026-08-07,3275.00,1.8663,-0.1165
2026-08-07,2121,3d,2026-08-12,3335.00,3.7325,1.9593
2026-08-07,2121,5d,2026-08-14,3285.00,2.1773,2.8025
2026-08-07,4674,1d,2026-08-07,1805.00,-0.2762,-0.1165
2026-08-07,4674,3d,2026-08-12,1867.00,3.1492,1.9593
2026-08-07,4674,5d,2026-08-14,1919.00,6.0221,2.8025
2026-08-07,8005,1d,2026-08-07,1879.00,0.4276,-0.1165
2026-08-07,8005,3d,2026-08-12,1887.00,0.8552,1.9593
2026-08-07,8005,5d,2026-08-14,1875.00,0.2138,2.8025
2026-08-07,8276,1d,2026-08-07,2689.00,-0.4443,-0.1165
2026-08-07,8276,3d,2026-08-12,2707.00,0.2221,1.9593
2026-08-07,8276,5d,2026-08-14,2725.00,0.8886,2.8025
2026-08-07,9511,1d,2026-08-07,1069.00,0.4699,-0.1165
2026-08-07,9511,3d,2026-08-12,1070.00,0.5639,1.9593
2026-08-07,9511,5d,2026-08-14,1097.00,3.1015,2.8025
2026-08-10,3159,1d,2026-08-10,420.00,0.9615,2.0783
2026-08-10,3159,3d,2026-08-13,411.00,-1.2019,2.0783
2026-08-10,3762,1d,2026-08-10,2303.00,0.8319,2.0783
2026-08-10,3762,3d,2026-08-13,2321.00,1.6200,2.0783
2026-08-10,4674,1d,2026-08-10,1867.00,3.4349,2.0783
2026-08-10,4674,3d,2026-08-13,1855.00,2.7701,2.0783
2026-08-10,8276,1d,2026-08-10,2707.00,0.6694,2.0783
2026-08-10,8276,3d,2026-08-13,2713.00,0.8925,2.0783
2026-08-10,9511,1d,2026-08-10,1070.00,0.0935,2.0783
2026-08-10,9511,3d,2026-08-13,1093.00,2.2451,2.0783
2026-08-12,3159,1d,2026-08-12,411.00,-2.1429,0.0000
2026-08-12,3159,3d,2026-08-14,404.00,-3.8095,0.8270
2026-08-12,3901,1d,2026-08-12,1515.00,0.0661,0.0000
2026-08-12,3901,3d,2026-08-14,1561.00,3.1044,0.8270
2026-08-12,3964,1d,2026-08-12,1465.00,-0.6106,0.0000
2026-08-12,3964,3d,2026-08-14,1483.00,0.6106,0.8270
2026-08-12,4674,1d,2026-08-12,1855.00,-0.6427,0.0000
2026-08-12,4674,3d,2026-08-14,1919.00,2.7852,0.8270
2026-08-12,8276,1d,2026-08-12,2713.00,0.2216,0.0000
2026-08-12,8276,3d,2026-08-14,2725.00,0.6649,0.8270
2026-08-13,3964,1d,2026-08-13,1477.00,0.8191,0.0000
2026-08-13,4674,1d,2026-08-13,1898.00,2.3181,0.0000
2026-08-13,4746,1d,2026-08-13,6500.00,0.0000,0.0000
2026-08-13,8276,1d,2026-08-13,2728.00,0.5529,0.0000
2026-08-13,9444,1d,2026-08-13,286.00,-1.0381,0.0000
