run_date,code,name,rank,score,entry_price,basis_conditions,basis_count,basis_total,ref_upper,ref_lower,ref_hold,status,close_date,close_reason
2026-08-03,9605,東映,1,9.0,6000.00,出来高が5日平均で25日平均比 +91%|25日線を上回って推移（+2.7%）|5日線>25日線で短期上向き（乖離+5.1%）|25日線>75日線で中期も上向き（乖離+1.0%）|市場平均(TOPIX)を20日で +5.2pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PER16.0倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +0.0%で過熱圏未満（急騰しすぎていない）,9,9,6400.00,5642.86,5,open,,
2026-08-03,3635,コーエーテクモホールディングス,2,8.6,1600.00,出来高が5日平均で25日平均比 +88%|25日線を上回って推移（+1.9%）|5日線>25日線で短期上向き（乖離+2.6%）|25日線>75日線で中期も上向き（乖離+1.4%）|市場平均(TOPIX)を20日で +2.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PER12.1倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +0.3%で過熱圏未満（急騰しすぎていない）,9,9,1671.00,1495.00,5,open,,
2026-08-03,2354,ＹＥ　ＤＩＧＩＴＡＬ,3,8.1,1350.00,25日線を上回って推移（+30.0%）|5日線>25日線で短期上向き（乖離+22.4%）|25日線>75日線で中期も上向き（乖離+8.0%）|市場平均(TOPIX)を20日で +59.9pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +0.0%で過熱圏未満（急騰しすぎていない）,7,9,1600.00,963.00,5,open,,
2026-08-03,3191,ジョイフル本田,4,8.0,2461.00,出来高が5日平均で25日平均比 +61%|25日線を上回って推移（+6.4%）|5日線>25日線で短期上向き（乖離+7.5%）|25日線>75日線で中期も上向き（乖離+5.5%）|市場平均(TOPIX)を20日で +9.9pt上回る相対的な強さ|テーマ該当：インバウンド・内需ディフェンシブ|割安圏（PER15.1倍・PBR1.18倍）|ニュース環境と接点：内需ディフェンシブタグが、円高関連のニュースと関連|直近5日 +2.6%で過熱圏未満（急騰しすぎていない）,9,9,2524.00,2351.71,5,open,,
2026-08-03,9991,ジェコス,5,8.0,1720.00,出来高が5日平均で25日平均比 +88%|25日線を上回って推移（+6.5%）|5日線>25日線で短期上向き（乖離+5.8%）|25日線>75日線で中期も上向き（乖離+2.3%）|市場平均(TOPIX)を20日で +8.7pt上回る相対的な強さ|テーマ該当：商社|割安圏（PER9.9倍・PBR0.82倍）|ニュース環境と接点：商社タグが、原油・円安関連のニュースと関連|直近5日 +3.1%で過熱圏未満（急騰しすぎていない）,9,9,1746.00,1653.43,5,open,,
2026-08-04,9507,四国電力,1,8.3,1729.00,出来高が5日平均で25日平均比 +70%|25日線を上回って推移（+12.3%）|5日線>25日線で短期上向き（乖離+8.0%）|25日線>75日線で中期も上向き（乖離+0.6%）|市場平均(TOPIX)を20日で +18.3pt上回る相対的な強さ|テーマ該当：電力・エネルギー・インフラ|割安圏（PER7.0倍・PBR0.75倍）|ニュース環境と接点：エネルギータグが、原油関連のニュースと関連|直近5日 +8.7%で過熱圏未満（急騰しすぎていない）,9,9,,1645.07,5,open,,
2026-08-04,4722,フューチャー,2,8.2,2447.00,出来高が5日平均で25日平均比 +144%|25日線を上回って推移（+20.0%）|5日線>25日線で短期上向き（乖離+19.4%）|25日線>75日線で中期も上向き（乖離+19.8%）|市場平均(TOPIX)を20日で +50.5pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PER17.6倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +4.6%で過熱圏未満（急騰しすぎていない）,9,9,2449.00,2250.29,5,open,,
2026-08-04,9991,ジェコス,3,8.1,1709.00,出来高が5日平均で25日平均比 +95%|25日線を上回って推移（+5.4%）|5日線>25日線で短期上向き（乖離+6.3%）|25日線>75日線で中期も上向き（乖離+2.8%）|市場平均(TOPIX)を20日で +11.7pt上回る相対的な強さ|テーマ該当：商社|割安圏（PER9.8倍・PBR0.81倍）|ニュース環境と接点：商社タグが、原油・円安関連のニュースと関連|直近5日 +3.6%で過熱圏未満（急騰しすぎていない）,9,9,1746.00,1634.00,5,open,,
2026-08-04,3159,丸善ＣＨＩホールディングス,4,8.1,383.00,出来高が5日平均で25日平均比 +84%|25日線を上回って推移（+5.2%）|5日線>25日線で短期上向き（乖離+1.7%）|25日線>75日線で中期も上向き（乖離+2.9%）|市場平均(TOPIX)を20日で +9.4pt上回る相対的な強さ|テーマ該当：インバウンド・内需ディフェンシブ|割安圏（PER10.6倍・PBR0.63倍）|ニュース環境と接点：内需ディフェンシブタグが、不動産・円高関連のニュースと関連|直近5日 +4.9%で過熱圏未満（急騰しすぎていない）,9,9,,372.29,5,open,,
2026-08-04,3851,日本一ソフトウェア,5,7.9,986.00,出来高が5日平均で25日平均比 +167%|25日線を上回って推移（+9.2%）|5日線>25日線で短期上向き（乖離+12.3%）|25日線>75日線で中期も上向き（乖離+5.8%）|市場平均(TOPIX)を20日で +23.8pt上回る相対的な強さ|テーマ該当：DX・AI・サイバーセキュリティ|割安圏（PBR0.63倍）|ニュース環境と接点：DX・AI・サイバーセキュリティタグが、AI・米国株関連のニュースと関連|直近5日 +1.6%で過熱圏未満（急騰しすぎていない）,9,9,1063.00,872.29,5,open,,
